aircraftId,registration,name,mtowKg,grassPenaltyPercentIfNoGrassData,runwayType,weightKg,pressureAltitudeFt,deltaIsaC,takeoffGroundRollM,takeoffOver50M,landingGroundRollM,landingOver50M,headwindTO%/kt,tailwindTO%/kt,headwindLDG%/kt,tailwindLDG%/kt,slopeTO%/%,slopeLDG%/%
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,0,-20,,310,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,0,-10,,340,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,0,0,,360,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,0,10,,390,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,0,20,,410,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,2000,-20,,375,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,2000,-10,,405,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,2000,0,,425,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,2000,10,,460,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,2000,20,,490,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,4000,-20,,435,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,4000,-10,,470,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,4000,0,,505,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,4000,10,,535,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,4000,20,,570,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,8000,-20,,620,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,8000,-10,,670,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,8000,0,,715,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,8000,10,,760,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,800,8000,20,,810,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,0,-20,,380,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,0,-10,,415,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,0,0,,460,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,0,10,,500,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,0,20,,520,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,2000,-20,,485,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,2000,-10,,510,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,2000,0,,545,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,2000,10,,580,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,2000,20,,630,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,4000,-20,,555,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,4000,-10,,600,,,21,5,21,5,,
sample-dr40,F-DR40,DR400 140b,1000,15,concrete,900,4000,0,,640,,,21,5,21,5,,
