aircraftId,registration,name,mtowKg,grassPenaltyPercentIfNoGrassData,runwayType,weightKg,pressureAltitudeFt,deltaIsaC,takeoffGroundRollM,takeoffOver50M,landingGroundRollM,landingOver50M,headwindTO%/kt,tailwindTO%/kt,headwindLDG%/kt,tailwindLDG%/kt,slopeTO%/%,slopeLDG%/%
sample-evss,F-RPRF,Evektor Sporstar RTC,600.0,0.0,concrete,600.0,0.0,-20.0,111.0,316.0,157.0,398.0,0.0,4.0,0.0,4.5,8.0,8.0
sample-evss,F-RPRF,Evektor Sporstar RTC,600.0,0.0,concrete,600.0,2000.0,-20.0,124.0,355.0,167.0,422.0,0.0,4.0,0.0,4.5,8.0,8.0
sample-evss,F-RPRF,Evektor Sporstar RTC,600.0,0.0,concrete,600.0,4000.0,-20.0,140.0,399.0,177.0,448.0,0.0,4.0,0.0,4.5,8.0,8.0
sample-evss,F-RPRF,Evektor Sporstar RTC,600.0,0.0,concrete,600.0,6000.0,-20.0,158.0,450.0,188.0,475.0,0.0,4.0,0.0,4.5,8.0,8.0
sample-evss,F-RPRF,Evektor Sporstar RTC,600.0,0.0,concrete,600.0,8000.0,-20.0,178.0,507.0,199.0,505.0,0.0,4.0,0.0,4.5,8.0,8.0
sample-evss,F-RPRF,Evektor Sporstar RTC,600.0,0.0,concrete,600.0,10000.0,-20.0,201.0,573.0,212.0,536.0,0.0,4.0,0.0,4.5,8.0,8.0
sample-evss,F-RPRF,Evektor Sporstar RTC,600.0,0.0,grass,600.0,0.0,-20.0,173.0,390.0,203.0,444.0,0.0,4.0,0.0,4.5,8.0,8.0
sample-evss,F-RPRF,Evektor Sporstar RTC,600.0,0.0,grass,600.0,2000.0,-20.0,194.0,438.0,215.0,470.0,0.0,4.0,0.0,4.5,8.0,8.0
sample-evss,F-RPRF,Evektor Sporstar RTC,600.0,0.0,grass,600.0,4000.0,-20.0,219.0,492.0,228.0,499.0,0.0,4.0,0.0,4.5,8.0,8.0
sample-evss,F-RPRF,Evektor Sporstar RTC,600.0,0.0,grass,600.0,6000.0,-20.0,246.0,554.0,242.0,529.0,0.0,4.0,0.0,4.5,8.0,8.0
sample-evss,F-RPRF,Evektor Sporstar RTC,600.0,0.0,grass,600.0,8000.0,-20.0,278.0,625.0,257.0,562.0,0.0,4.0,0.0,4.5,8.0,8.0
sample-evss,F-RPRF,Evektor Sporstar RTC,600.0,0.0,grass,600.0,10000.0,-20.0,314.0,707.0,273.0,598.0,0.0,4.0,0.0,4.5,8.0,8.0
sample-evss,F-RPRF,Evektor Sporstar RTC,600.0,0.0,concrete,600.0,0.0,-10.0,119.0,340.0,163.0,413.0,0.0,4.0,0.0,4.5,8.0,8.0
sample-evss,F-RPRF,Evektor Sporstar RTC,600.0,0.0,concrete,600.0,2000.0,-10.0,134.0,382.0,173.0,438.0,0.0,4.0,0.0,4.5,8.0,8.0
sample-evss,F-RPRF,Evektor Sporstar RTC,600.0,0.0,concrete,600.0,4000.0,-10.0,151.0,430.0,184.0,465.0,0.0,4.0,0.0,4.5,8.0,8.0
