weightKg,pressureAltitudeFt,temperatureC,takeoffGroundRollM,takeoffOver50M,headwindTO%/kt,tailwindTO%/kt
600,0,-20,203,264,2.75,2.75
620,0,-20,198,257,2.77,3.5
640,0,-20,192,250,2.79,4.29
660,0,-20,186,243,2.82,5.19
680,0,-20,185,242,2.82,5.37
700,0,-20,197,257,2.77,3.53
720,0,-20,209,272,2.73,1.95
740,0,-20,224,290,2.69,0.2
760,0,-20,239,309,2.65,1.33
780,0,-20,253,326,2.61,2.6
800,0,-20,269,346,2.58,2.22
600,0,-15,203,264,2.75,2.72
620,0,-15,201,261,2.76,3.07
640,0,-15,198,258,2.77,3.41
660,0,-15,195,255,2.78,3.8
680,0,-15,197,256,2.78,3.6
700,0,-15,210,273,2.73,1.83
720,0,-15,223,289,2.69,0.33
740,0,-15,239,309,2.65,1.3
760,0,-15,255,328,2.61,2.74
780,0,-15,270,347,2.58,2.13
800,0,-15,287,368,2.55,0.7
600,0,-10,203,265,2.75,2.69
620,0,-10,204,265,2.75,2.64
640,0,-10,204,266,2.75,2.59
660,0,-10,205,266,2.75,2.54
680,0,-10,209,271,2.74,2.03
700,0,-10,223,289,2.69,0.33
720,0,-10,237,306,2.65,1.11
740,0,-10,253,327,2.61,2.63
760,0,-10,270,348,2.58,2.02
780,0,-10,287,368,2.55,0.65
800,0,-10,305,390,2.52,2.49
600,0,-5,204,265,2.75,2.66
620,0,-5,207,269,2.74,2.23
640,0,-5,210,273,2.73,1.82
660,0,-5,214,278,2.72,1.38
680,0,-5,220,286,2.7,0.62
700,0,-5,236,305,2.66,1.01
720,0,-5,251,323,2.62,2.39
740,0,-5,268,345,2.58,2.45
760,0,-5,286,367,2.55,0.57
780,0,-5,303,389,2.52,2.6
800,0,-5,322,413,2.49,0.93
600,0,0,204,265,2.75,2.64
620,0,0,210,273,2.73,1.83
640,0,0,216,281,2.71,1.08
660,0,0,223,289,2.69,0.32
680,0,0,232,300,2.67,0.64
700,0,0,249,321,2.62,2.21
720,0,0,264,340,2.59,3.08
740,0,0,283,363,2.56,0.02
760,0,0,302,387,2.52,2.75
780,0,0,320,410,2.49,1.11
800,0,0,340,436,2.47,0.47
600,0,5,204,265,2.75,2.61
620,0,5,213,277,2.72,1.45
640,0,5,222,288,2.69,0.39
660,0,5,232,300,2.67,0.65
680,0,5,244,315,2.64,1.78
700,0,5,261,337,2.6,3.3
720,0,5,278,358,2.56,0.68
740,0,5,297,381,2.53,2.24
760,0,5,317,407,2.5,1.33
780,0,5,337,432,2.47,0.24
800,0,5,357,459,2.44,1.72
600,0,10,204,266,2.75,2.58
620,0,10,216,281,2.71,1.07
640,0,10,228,296,2.68,0.26
660,0,10,241,312,2.64,1.56
680,0,10,256,329,2.61,2.81
700,0,10,274,353,2.57,1.35
720,0,10,292,375,2.54,1.5
740,0,10,312,400,2.51,1.82
760,0,10,333,427,2.48,0.04
780,0,10,353,454,2.45,1.46
800,0,10,375,482,2.43,2.87
600,0,15,205,266,2.75,2.55
620,0,15,220,285,2.7,0.67
640,0,15,235,304,2.66,0.94
660,0,15,251,324,2.62,2.46
680,0,15,268,345,2.58,2.38
700,0,15,288,370,2.55,0.91
720,0,15,307,394,2.51,2.24
740,0,15,328,420,2.48,0.47
760,0,15,350,450,2.45,1.23
780,0,15,372,478,2.43,2.67
800,0,15,394,507,2.41,1.19
600,0,20,210,273,2.73,1.86
620,0,20,227,294,2.68,0.12
640,0,20,244,315,2.64,1.81
660,0,20,263,338,2.59,3.39
680,0,20,281,361,2.56,0.2
700,0,20,302,387,2.52,2.72
720,0,20,322,413,2.49,0.93
740,0,20,344,441,2.46,0.76
760,0,20,367,472,2.43,2.37
780,0,20,390,501,2.41,0.28
800,0,20,413,532,2.39,1.84
600,0,25,220,286,2.7,0.63
620,0,25,238,308,2.65,1.24
640,0,25,256,330,2.61,2.88
660,0,25,276,354,2.57,1.1
680,0,25,295,379,2.53,1.98
700,0,25,317,407,2.5,1.35
720,0,25,338,434,2.47,0.37
740,0,25,361,464,2.44,1.99
760,0,25,385,496,2.41,0.6
780,0,25,409,527,2.4,2.14
800,0,25,435,562,2.39,0.34
600,0,30,231,299,2.67,0.49
620,0,30,249,322,2.62,2.27
640,0,30,268,345,2.58,2.37
660,0,30,289,371,2.54,1.01
680,0,30,310,397,2.51,2.02
700,0,30,332,426,2.48,0.11
720,0,30,355,456,2.45,1.55
740,0,30,379,487,2.42,2.04
760,0,30,404,519,2.4,2.55
780,0,30,429,554,2.39,0.72
800,0,30,456,592,2.38,1.01
600,0,35,242,312,2.64,1.58
620,0,35,261,336,2.6,3.26
640,0,35,281,361,2.56,0.18
660,0,35,303,388,2.52,2.64
680,0,35,325,416,2.49,0.72
700,0,35,348,447,2.46,1.09
720,0,35,372,478,2.43,2.69
